titulo,autores,generos,serie,sinopsis,url_libro,categoria_origen,fecha_extraccion,imagen_portada
El molino del Floss,George Eliot,"Clásico, Costumbrista",N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/el-molino-del-floss/,Clásico,2026-09-06 12:54:42,https://assets.lectulandia.co/b/George%20Eliot/El%20molino%20del%20Floss%20(10)/big.jpg
Middlemarch,George Eliot,"Clásico, Costumbrista",N/D,N/D,https://ww3.lectulandia.co/book/middlemarch/,Clásico,2026-09-06 12:54:45,https://assets.lectulandia.co/b/George%20Eliot/Middlemarch%20(2)/big.jpg
"Otelo, el moro de Venecia",William Shakespeare,"Clásico, Drama, Teatro",N/D,N/D,https://ww3.lectulandia.co/book/otelo-el-moro-de-venecia/,Clásico,2026-09-06 12:54:48,"https://assets.lectulandia.co/b/William%20Shakespeare/Otelo,%20el%20moro%20de%20Venecia%20(7)/big.jpg"
Hamlet,William Shakespeare,"Clásico, Drama, Teatro",N/D,N/D,https://ww3.lectulandia.co/book/hamlet/,Clásico,2026-09-06 12:54:51,https://assets.lectulandia.co/b/William%20Shakespeare/Hamlet%20(10)/big.jpg
La sombra del ciprés es alargada,Miguel Delibes,"Clásico, Drama",N/D,N/D,https://ww3.lectulandia.co/book/la-sombra-del-cipres-es-alargada/,Clásico,2026-09-06 12:54:54,https://assets.lectulandia.co/b/Miguel%20Delibes/La%20sombra%20del%20cipres%20es%20alargada%20(18)/big.jpg
La respuesta es no,Wilkie Collins,"Clásico, Drama, Intriga",N/D,N/D,https://ww3.lectulandia.co/book/la-respuesta-es-no/,Clásico,2026-09-06 12:54:57,https://assets.lectulandia.co/b/Wilkie%20Collins/La%20respuesta%20es%20no%20(2)/big.jpg
La vida es sueño,Pedro Calderón de la Barca,"Clásico, Teatro",N/D,N/D,https://ww3.lectulandia.co/book/la-vida-es-sueno/,Clásico,2026-09-06 12:55:00,https://assets.lectulandia.co/b/Pedro%20Calderon%20de%20la%20Barca/La%20vida%20es%20sueno%20(12)/big.jpg
El grillo del hogar (Ilustrado),Charles Dickens,"Clásico, Cuentos, Relato",N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/el-grillo-del-hogar-ilustrado/,Clásico,2026-09-06 12:55:03,https://assets.lectulandia.co/b/Charles%20Dickens/El%20grillo%20del%20hogar%20(Ilustrado)%20(9)/big.jpg
El jardín de los cerezos,Antón Chéjov,"Clásico, Drama, Teatro",N/D,N/D,https://ww3.lectulandia.co/book/el-jardin-de-los-cerezos/,Clásico,2026-09-06 12:55:06,https://assets.lectulandia.co/b/Anton%20Chejov/El%20jardin%20de%20los%20cerezos%20(19)/big.jpg
Macbeth,William Shakespeare,"Clásico, Drama, Teatro",N/D,N/D,https://ww3.lectulandia.co/book/macbeth/,Clásico,2026-09-06 12:55:09,https://assets.lectulandia.co/b/William%20Shakespeare/Macbeth%20(20)/big.jpg
A este lado del paraíso,Francis Scott Fitzgerald,Clásico,N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/a-este-lado-del-paraiso/,Clásico,2026-09-06 12:55:12,https://assets.lectulandia.co/b/Francis%20Scott%20Fitzgerald/A%20este%20lado%20del%20paraiso%20(1)/big.jpg
La segunda casaca,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Segunda serie,"El gran friso narrativo de los Episodios Nacionales sirvió de vehículo a Benito Pérez Galdós (1843-1920) para recrear en él la totalidad de la compleja vida de los españoles ­guerras, política, vida cotidiana, reacciones populares­ a lo largo del agitado siglo XIX. LA SEGUNDA CASACA continúa las memorias del inefable Pipaón que articulan el episodio anterior, trazando con idéntico humor la trayectoria que llevó a tantos del más rabioso absolutismo a la militancia liberal y que desembocó en el éxito del levantamiento de Riego. Junto con los personajes de Salvador Monsalud, Jenara y Carlos Navarro, se retoma a su vez la peripecia novelesca que dio comienzo en «El equipaje del rey José», primer episodio de esta Segunda serie.",https://ww3.lectulandia.co/book/la-segunda-casaca/,Clásico,2026-09-06 12:55:15,https://assets.lectulandia.co/b/Benito%20Perez%20Galdos/La%20segunda%20casaca%20(17)/big.jpg
Casa de muñecas,Henrik Ibsen,"Clásico, Drama",N/D,N/D,https://ww3.lectulandia.co/book/casa-de-munecas/,Clásico,2026-09-06 12:55:17,https://assets.lectulandia.co/b/Henrik%20Ibsen/Casa%20de%20munecas%20(4)/big.jpg
